gcardId,relCode,phoneType1,phoneType2,city,state,zip,countryCode,jobTypeID,rentOwnFlag,DOB,Gender,CriminalQuestion,BrokenLease,Evicted,SuedForDamage,SuedForRent,MaritalStatus,ResidentDesignation,IsInternationalApplicant,PrefCommunicationType,County,status,trfsrcName,gcardPreferedFloorplanGroupId,gcardOccupantCount
137525325,H,M,,Seabrook,TX,77586-3247,,T0000016,R,10/21/1996,F,,0,1,0,0,,,0,,,0,Property Website,Z000000001,1
137359377,H,M,,Houston,TX,77025-2329,,T0000002,R,11/5/1990,M,,1,0,0,0,,,0,,,0,Online Business Listing,Z000000001,0
137068116,H,,,Fairburn,GA,30213-5121,,Techno,R,6/19/1992,M,,0,1,1,1,,,0,,,0,Off-Site Signage,Z000000095,1
133711549,H,M,,NULL,,,,,R,4/24/1988,F,,0,1,0,0,,,0,,,0,Property Website,Z000000004,0
130251138,H,M,,Portland,OR,97205-1718,,Rstrnt,R,12/17/1993,M,,1,0,0,0,,,0,,,0,Craigslist.org,Z000000012,1
129912484,H,M,H,Pearland,TX,77584-8420,,SlfEmpyd,R,7/17/1989,M,,0,1,0,0,,,0,,,0,In-House Transfer,Z000000001,1
127327831,H,M,,Nashville,TN,37203-4564,,T0000017,R,12/28/1990,M,,1,1,1,1,,,0,,,0,Greystar Property Referral,Z000000001,2
126722080,H,H,W,Concord,NC,28027-7345,,,R,12/16/1973,F,,0,0,0,1,,,0,,,0,ApartmentFinder.com,Z000000001,1
126307451,H,H,,Arlington,TX,0,US,T0000015,R,2/17/1987,M,0,1,0,0,0,,,0,,,0,Property Website,Z000000001,1
126198713,H,H,,Fresno,TX,0,US,,N,5/20/1989,M,0,1,0,0,0,,,0,,,0,Live/Work in Area,Z000000001,4
126059652,H,M,,Arlington,TX,76016-4500,,T0000013,R,5/4/1989,F,,1,0,0,0,,,0,,,0,Online Display,Z000000005,1
